Participant_ID,Course,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,Used_AI,Frequency_use_AI,Uses_of_AI_pre,Uses_of_AI_write_pre,Why_use_AI,Understand_limitations_pre,Valuable_part_process,Plagiarism,Drafts,Focus_drafts_pre,Focus_drafts_write,Feedback_feel_pre,Feedback_importance_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Year_post,Year_write_post,Major_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in,Language_write_in_other,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,Used_AI_post,Focus_drafts_post,Feedback_feel_post,Preferred_feedback_post,Preferred_feedback_write_post,peer_motivate_revise_post,AI_motivate_revise_post
P1,HSW,winter_2024,3rd year,NA,NPB,"English: advanced, Gujrati: intermediate",Yes,NA,,,,,,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,Only to check spelling errors or change vocabulary.,Somewhat understand,Somewhat agree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,Can provide fast and technical analysis as many times as you need.,Sometimes it would be hard to get it to understand things like feeling and motives.,3rd year,NA,NPB,"English: advanced, Gujrati: advanced",Yes,NA,,,No,NA,No,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Somewhat agree
P10,HSW,winter_2024,4th year,NA,Biochemistry and Molecular Biology,english - native speaker,Yes,NA,,,,,,No,2 = infrequently,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Somewhat agree,,,good for quickly gathering information and checking your writing,"data breaches, writing privacy for certain types of writing, not helpful if given unclear instructions",4th year,NA,Biochemistry and Molecular Biology,"English (advanced), Hindi (beginner)",Yes,NA,,,No,NA,Yes,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Somewhat agree,Neither agree nor disagree
P100,ENV,winter_2024,1st year,NA,Environmental Policy and Planning,English,Yes,NA,,,,,,Yes,2 = infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,NA,Neither understand nor do NOT understand,Strongly agree,Neither agree nor disagree,No,NA,NA,Unsure,Somewhat agree,,,NA,NA,1st year,NA,Environmental Policy Analysis and Planning,English,Yes,NA,,,No,NA,Yes,NA,"Asian/Pacific Islander,White/Caucasian",,,More confident about my writing,AI feedback,NA,Somewhat agree,Somewhat agree
P101,FYW,winter_2024,1st year,NA,Biological System Engineering,"English: Intermediate, Mandarin & Cantonese : Advanced",No,9,,,,,,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"My grammar is not so great, so I would use it to improve the grammar of my writing process. Giving feedback on my writing, but I will be considering do I use those feedbacks or not.",Somewhat understand,Somewhat agree,Somewhat disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence",NA,More confident about my writing,Strongly agree,,,It can give feedbacks immediately and I have the ability to choose to use it or not. Sometime it will gives some really good feedbacks.,They use sources that are already implemented to them. They have some limitations,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P102,HSW,winter_2024,3rd year,NA,"Neurobiology, Physiology & Behavior",English,Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Neither understand nor do NOT understand,Neither agree nor disagree,Somewhat agree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,I think using chatGPT could be helpful for feedback in the sense that it is a completely unbiased source that is looking over your writing. It will be able to tell you if it got the meaning out of your work or not.,I feel like it can be hard to see your work re-written much clearer and not take those ideas.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P103,ENV,winter_2024,3rd year,NA,Econ,English: Intermediate,No,12,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Neither agree nor disagree,Neither agree nor disagree,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,Strongly agree,,,Maybe it can help give new ideas.,Can be cheating,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P104,FYW,winter_2024,2nd year,NA,Cognitive Science,English - advanced,Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,Revising (ask AI to revise your work),NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
P105,ENV,winter_2024,2nd year,NA,Computer Science,English: advanced,Yes,NA,,,,,,Yes,1 = never,I do not use AI Writing Tools,NA,NA,Somewhat understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,No impact on confidence,Somewhat agree,,,"Since it is a language model, it might be able to identify grammatical errors.","It might not be able to check for logical consistency, flow, or even misinformation.",2nd year,NA,Computer Science,English - advanced,Yes,NA,,,Prefer not to answer,NA,Prefer not to answer,NA,Prefer not to answer,,,No impact on confidence,AI and peer feedback used together,NA,Somewhat agree,Neither agree nor disagree
P106,HSW,winter_2024,4th year,NA,Biological Sciences,English: advanced,Yes,NA,,,,,,Yes,3 = neither frequently nor infrequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,For more clarity in my writing,Neither understand nor do NOT understand,Somewhat agree,Neither agree nor disagree,No,NA,NA,More confident about my writing,Somewhat agree,,,Some advantages to using AI for feedback would include having more clarity in my writing and may make it more strong and concise.,It may reduce my own creativity and writing style.,4th year,NA,Biological Sciences,English: home language,Yes,NA,,,No,NA,Yes,NA,Asian/Pacific Islander,,,More confident about my writing,AI and peer feedback used together,NA,Strongly agree,Strongly agree
P107,APW,winter_2024,2nd year,NA,Biochemistry and Molecular Biology,"English: Advanced, Korean: beginner",Yes,NA,,,,,,No,1 = never,I do not use AI Writing Tools,NA,NA,Do NOT understand well,Strongly agree,Strongly agree,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,Strongly agree,,,I feel like AI may be able to catch onto errors and detect nuance with more precision than a peer reader could have.,Using AI is somewhat unethical in my opinion and I feel like it may become a crutch that could be detrimental for creativity in writing.,NA,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA,,,NA,NA,NA,NA,NA
