Participant_ID,Multilingualism,Language_immigration_background,age_arrival_US,MIGS,Course_pre,Term_pre,Year_pre,Year_write_pre,Major_pre,Languages_pre,Born_US_pre,Age_move_US_pre,1st_gen_pre,1st_gen_write_pre,financial_aid_pre,financial_aid_write_pre,ethnicity_pre,ethnicity_write_pre,confident_write_academic_paper_pre,confident_write_clearly_pre,good_grades_pre,generating_ideas_easy_pre,strategies_difficulties_pre,persistence_pre,task_on_time_pre,SE_pre,Used_AI_pre,Frequence_use_AI,Uses_of_AI,Uses_of_AI_write,Why_use_AI,Understand_limitations_pre,AI_Valuable_part_process_pre,AI_Plagiarism_pre,Drafts_pre,Focus_drafts_pre,Focus_drafts_write_pre,Feedback_feel_pre,Feedback_importance_pre,TA_feedback_clarity_helpful_pre,Peer_feedback_clarity_helpful_pre,Preferred_feedback_pre,Preferred_feedback_write_pre,Advantages_AI_pre,Disadvantages_AI_pre,Term_post,Time_post,Year_post,Year_write_post,Major_post,Course_post,Languages_post,Born_US_post,Age_move_US_post,Language_write_in_post,Language_write_in_other_post,1st_gen_post,1st_gen_write_post,financial_aid_post,financial_aid_write_post,ethnicity_post,ethnicity_write_post,confident_write_academic_paper_post,confident_write_clearly_post,good_grades_post,generating_ideas_easy_post,strategies_difficulties_post,persistence_post,task_on_time_post,SE_post,Drafts_post,Focus_drafts_post,Focus_drafts_write_post,Feedback_feel_post,Feedback_importance_post,TA_feedback_clarity_helpful_post,Peer_feedback_clarity_helpful_post,Uses_of_AI_course_post,Uses_of_AI_course_write_post,Why_use_AI_course_post,AI_helpful_open_ended_post,Continue_conversation_post,Continue_conversation_write_post,Frequency_AI_use_post,Understand_limitations_post,ChatGPT_feedback_useful_post,ChatGPT_feedback_accurate_post,ChatGPT_feedback_implement_post,ChatGPT_feedback_continue_post,AI_Valuable_part_process_post,AI_Plagiarism_post,peer_feedback_useful_post,peer_feedback_accurate_post,peer_feedback_implement_post,peer_feedback_continue_post,peer_Valuable_part_process_post,peer_Plagiarism_post,peer_motivate_revise_post,AI_motivate_revise_post,AI_and_peer_feedback_post,Preferred_feedback_post,Preferred_feedback_write_post,Advantages_AI_post,Disadvantages_AI_post
P323,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 1: Introduction to Academic Literacies (First-Year Writing),spring_24,NA,NA,NA,Mandarin,No,19,No,NA,No,NA,International,NA,1,1,1,-1,2,1,2,1,No,3 = neither frequently nor infrequently,Other,Solving problems from my stem classes,Give me more ideas related to the topic and help me generate a better content and logistic structure,1,0,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Unsure,2,1,1,Both AI and peer feedback,NA,More general and specific,Sometimes lost from the topics,spring_24,post,2nd year,NA,nutrition science,UWP 1: Introduction to Academic Literacies (First-Year Writing),"mandarin: advanced, english: advanced, korean: beginner",No,20,Other,Chinese,No,NA,No,NA,International,NA,1,1,0,1,0,0,0,0.42857143,Yes,"Editing for grammar and word choice,Checking citations,Improving organization, flow, transitions",NA,Unsure,2,2,2,Revising (asked AI to rewrite your work),NA,AI generally more academic and knowledgeable,more resonable,Yes,NA,,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,AI and peer feedback used together,NA,knowledgeable,limitation of critical thinking
P324,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 7: Practices in College Reading & Writing,spring_24,1st year,NA,Undeclared,"English: intermediate, Mandarin: advanced",No,18,No,NA,No,NA,Asian/Pacific Islander,NA,0,-1,0,1,0,1,2,0.42857143,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,Provided informations,1,1,1,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions",NA,Less confident about my writing,2,2,2,Peer feedback,NA,I never used ai on feedback before. These are just predictions:ai are effective and can judge objectively. But they are not always correct,Al currently are just effective not precise,spring_24,post,1st year,NA,Statistics,UWP 7: Practices in College Reading & Writing,Mandarin: advance English: intermediate,No,18,English,NA,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,0,1,1,1,1,0.85714286,Yes,Editing for grammar and word choice,NA,More confident about my writing,2,2,1,Feedback (asked AI to provide comments on your work),NA,For feedback,The wide amount of issue provided,Yes,NA,,2,2,0,0,2,2,0,2,2,2,2,2,2,2,2,2,AI and peer feedback used together,NA,AI can know problem really quick,AI are not always correct
P349,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 1: Introduction to Academic Literacies (First-Year Writing),spring_24,2nd year,NA,Bioscience,"Mandarin: advanced, English: advanced, Spanish: beginner",No,19,No,NA,No,NA,International,NA,0,1,0,1,1,2,2,1,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar),Other",Asking some academic questions and definitions,Save time,1,1,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,0,2,0,Both AI and peer feedback,NA,Its feedback is very objective.,Sometimes its feedback is not useful.,spring_24,post,2nd year,NA,Bioscience,UWP 1: Introduction to Academic Literacies (First-Year Writing),"English: advanced, Mandarin: advanced",No,18 years old,Other,Mandarin,No,NA,No,NA,International,NA,0,0,1,1,0,-1,1,0.28571429,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,1,1,0,"Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,Ai can use syntax very accurately,Its feedback was very objective.,Yes,NA,,1,1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,AI and peer feedback used together,NA,It is very objective.,Sometime makes mistakes
P373,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,4th year,NA,Applied Mathematics,"English: intermediate, Mandarin: advanced.",No,21,Prefer not to answer,NA,Prefer not to answer,NA,Prefer not to answer,NA,1,1,1,1,1,1,1,1,Yes,3 = neither frequently nor infrequently,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work)",NA,NA,1,1,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence",NA,More confident about my writing,2,2,2,Both AI and peer feedback,NA,NA,NA,spring_24,post,4th year,NA,Applied Mathematics,PLS: Just Coffee,"Mandarin: advanced, English: intermediate",No,20,Other,Mandarin,Yes,NA,No,NA,"Asian/Pacific Islander,Prefer not to answer",NA,1,1,1,1,1,1,1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,2,"Feedback (asked AI to provide comments on your work),Revising (asked AI to rewrite your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,To make it better,NA,Yes,NA,,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,AI and peer feedback used together,NA,NA,NA
P378,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,2nd year,NA,Cinema and Digital Arts,"English: intermediate, Chinese: Advanced",No,18,Yes,NA,No,NA,Asian/Pacific Islander,NA,0,0,1,0,0,0,0,0.14285714,Yes,4 = frequently,"Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,It performs good in constracting and revising my language. It helps improve my overall essay quality.,2,2,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,More confident about my writing,2,2,-1,AI feedback,NA,"Clear logic, various ideas",possible plagiarism,spring_24,post,2nd year,NA,digital media,PLS: Just Coffee,Chinese-advanced?English-intermediate,No,18,Other,chinese,Yes,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,Less confident about my writing,2,2,1,Editing for Grammar/Clarity (asked AI to edit for grammar),NA,"I used AI for correcting grammar, otherwide sometimese my passage would be confusing.",checking the mistakes and clarity.,Yes,NA,,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,AI feedback,NA,It judge my writing without any bias,AI cant understand some complicated stuff
P384,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 12: Writing & Visual Rhetoric,spring_24,3rd year,NA,Design,English: intermediate Mandarin:advanmced,No,17,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,2,1,1,1,2,1.28571429,Yes,4 = frequently,Editing for Grammar/Clarity (ask AI to edit for grammar),NA,I need AI help me to find grammar mistakes.,2,2,0,No,NA,NA,More confident about my writing,2,2,2,Both AI and peer feedback,NA,Improving my grammar. Provide more advices.,AI can not give really effective advices to my writing.,spring_24,post,3rd year,NA,design,UWP 12: Writing & Visual Rhetoric,"Mandarin: advanced, English: intermediate",No,17 years old,Other,Mandarin,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence",NA,More confident about my writing,1,1,2,"Feedback (asked AI to provide comments on your work),Editing for Grammar/Clarity (asked AI to edit for grammar)",NA,revise my grammar mistakes,quick and specific,Yes,NA,,2,2,1,1,2,1,1,2,1,2,2,2,-2,1,1,1,AI and peer feedback used together,NA,quick and specific,not that accurate
P412,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,Other,2nd Master√ïs Program,Statistics,"Korean:advanced, English: intermediate",No,26,No,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,1,1,1,Yes,4 = frequently,"Editing for Grammar/Clarity (ask AI to edit for grammar),Write paper in another language and then use AI to translate into English",NA,"I want to check my English grammar, and sometimes I want to translate my English to Korean.",0,2,-2,Yes,"Editing for grammar and word choice,Improving organization, flow, transitions",NA,NA,2,2,2,Both AI and peer feedback,NA,It is fast and we can get detailed feedback that we want to get,We have no way to verify if the feedback we received is actually valid and useful.,spring_24,post,Other,Master,statistics,PLS: Just Coffee,"Korean - Advanced, English - Advanced",No,29 years old,Other,Korean,No,NA,No,NA,Asian/Pacific Islander,NA,0,0,0,0,0,0,0,0,Yes,Editing for grammar and word choice,NA,More confident about my writing,0,0,0,Feedback (asked AI to provide comments on your work),NA,check of my grammar or some errors,Unbound by time and content length,Yes,NA,,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AI and peer feedback used together,NA,I can ask more questions and more specifically what I want to know more,I cannot trust it 100%
P433,multilingual,ESL,adolescence_adulthood,multilingual_international_student,UWP 7: Practices in College Reading & Writing,spring_24,1st year,NA,Sociology,"Mandarin:advanced, Cantonese:advanced, English: middle",No,18,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,-1,-1,-1,-1,0,1,0,-0.4285714,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"If I met a question that I√ïm not familiar with,I would use ChatGPT to help me get to know the background in a short time. It can help me understand easily and can save a lot of time rather than google myself.",1,0,-1,Yes,"Editing for grammar and word choice,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,1,0,0,Both AI and peer feedback,NA,Help you check the paper grammar and revise some wrong sentences you may not notice.,Machine knowledge is not better than human knowledge,spring_24,post,1st year,NA,Sociology,UWP 7: Practices in College Reading & Writing,English mandarin Cantonese,No,19,Other,Chinese,Yes,NA,No,NA,Asian/Pacific Islander,NA,0,0,0,0,0,0,0,0,Yes,Editing for grammar and word choice,NA,No impact on confidence,0,0,1,Feedback (asked AI to provide comments on your work),NA,Class activity,Grammar,Yes,NA,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,AI and peer feedback used together,NA,"Better than me(grammar,words spell)",Repeat
P455,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,4th year,NA,Art Studio,Cantonese: advanced; Mandarin:advanced; English:Intermediate; Japanese:beginner,No,17,Yes,NA,Yes,NA,Asian/Pacific Islander,NA,0,0,1,1,1,0,0,0.42857143,Yes,2 = infrequently,"Feedback (ask AI to provide comments on your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,"Because English is my second language, AI helps me a lot to improve the grammar.",1,1,-1,No,NA,NA,More confident about my writing,1,2,1,Both AI and peer feedback,NA,AI can helps me to fix the sentences to be clear and done.,Sometimes AI are more formal in feedback.,spring_24,post,4th year,NA,Art Studio,PLS: Just Coffee,"English: Intermediate, Mandarin: Advanced, Cantonese: Advanced, Japanese: Beginner",No,16 years old,Other,Chinese,Prefer not to answer,NA,Prefer not to answer,NA,Asian/Pacific Islander,NA,2,2,2,2,2,2,2,2,Yes,"Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,2,1,1,Editing for Grammar/Clarity (asked AI to edit for grammar),NA,Give me a quick structure of my essay prompt,The ability to quickly address my issues and areas to be improved,Yes,NA,,2,2,1,2,1,1,-2,2,2,2,2,2,-2,2,2,2,AI and peer feedback used together,NA,"quick analysis on essay, and quick check on evidence","sometimes, I might have to double check with AI to make sure if the evidence is up to date."
P458,multilingual,ESL,adolescence_adulthood,multilingual_international_student,PLS: Just Coffee,spring_24,4th year,NA,Economics.,"English: intermediate, Mandarin: advanced",No,19,Prefer not to answer,NA,No,NA,Asian/Pacific Islander,NA,0,1,0,-1,1,-1,1,0.14285714,No,1 = never,"Feedback (ask AI to provide comments on your work),Revising (ask AI to revise your work),Editing for Grammar/Clarity (ask AI to edit for grammar)",NA,NA,1,0,0,Yes,"Editing for grammar and word choice,Proofreading for punctuation, spelling, typos,Checking citations,Improving use of evidence,Improving organization, flow, transitions,Strengthening Argument",NA,No impact on confidence,2,1,1,Peer feedback,NA,"It may help me correct grammar and diction errors, which is very important for a non-native English speaker.",It may cause different people to think the same way.,spring_24,post,4th year,NA,Economics,PLS: Just Coffee,"Mandarin: advanced, English: intermediate",No,19,Other,Mandarin,Yes,NA,No,NA,Asian/Pacific Islander,NA,1,1,1,1,1,0,1,0.85714286,No,NA,NA,More confident about my writing,2,2,2,"Feedback (asked AI to provide comments on your work),I did not use AI Writing Tools",NA,NA,I think AI feedback would provide some suggestions in general for us to improve our essays with logic flow and structural consistencty. I did AI feedback using ChatGPT for the course and it really gave me constructive suggestions to help me revise my work.,Yes,NA,,2,1,1,1,1,1,0,1,1,1,1,1,-1,2,2,2,AI and peer feedback used together,NA,"I think AI reflection can help or at least provide some advice from a different perspective than my own before I am able to find a proper person for peer review,","The feedback provided by AI may be modular and rigid, and it may make similar suggestions for different papers based on its own database and training direction."
